Drink.Fromcup_p15_r04_v03_c05,0,Drink.Fromcup
Eat.Attable_p06_r11_v07_c02,3,Eat.Attable
Cook.Cleanup_p07_r00_v21_c06,4,Cook.Cleanup
Cook.Cleanup_p04_r00_v15_c07,4,Cook.Cleanup
Sitdown_p25_r05_v10_c01,1,Sitdown
Takepills_p17_r00_v15_c03,5,Takepills
Eat.Attable_p13_r18_v08_c02,3,Eat.Attable
Cook.Usestove_p09_r03_v12_c03,7,Cook.Usestove
Leave_p09_r00_v04_c04,8,Leave
Walk_p12_r13_v06_c05,2,Walk
Walk_p07_r01_v21_c06,2,Walk
Walk_p25_r23_v05_c05,2,Walk
Drink.Fromcup_p19_r04_v01_c05,0,Drink.Fromcup
Usetelephone_p13_r02_v10_c01,11,Usetelephone
Walk_p19_r02_v14_c03,2,Walk
WatchTV_p09_r07_v05_c04,12,WatchTV
Walk_p17_r01_v04_c04,2,Walk
Eat.Snack_p06_r03_v06_c04,13,Eat.Snack
Laydown_p03_r01_v02_c05,14,Laydown
WatchTV_p06_r03_v04_c04,12,WatchTV
Drink.Fromcup_p06_r11_v03_c05,0,Drink.Fromcup
Readbook_p04_r01_v13_c01,6,Readbook
Walk_p19_r04_v13_c06,2,Walk
Eat.Snack_p09_r03_v15_c03,13,Eat.Snack
Pour.Frombottle_p19_r01_v05_c05,15,Pour.Frombottle
Walk_p15_r12_v02_c05,2,Walk
Cook.Cleandishes_p25_r04_v12_c03,16,Cook.Cleandishes
Walk_p03_r17_v02_c05,2,Walk
Drink.Fromcup_p25_r00_v09_c02,0,Drink.Fromcup
Pour.Fromcan_p12_r01_v03_c04,17,Pour.Fromcan
Pour.Frombottle_p06_r00_v02_c05,15,Pour.Frombottle
Usetablet_p03_r01_v06_c05,18,Usetablet
WatchTV_p04_r03_v05_c04,12,WatchTV
Cook.Stir_p07_r08_v21_c06,19,Cook.Stir
Drink.Fromcup_p15_r00_v13_c03,0,Drink.Fromcup
Walk_p12_r05_v13_c06,2,Walk
Walk_p03_r05_v16_c03,2,Walk
Drink.Fromcan_p03_r05_v02_c04,20,Drink.Fromcan
Drink.Fromcan_p04_r08_v03_c05,20,Drink.Fromcan
Uselaptop_p04_r00_v13_c01,21,Uselaptop
Usetelephone_p17_r00_v04_c05,11,Usetelephone
Pour.Fromcan_p15_r02_v10_c02,17,Pour.Fromcan
Walk_p04_r05_v04_c05,2,Walk
Pour.Fromcan_p15_r01_v09_c01,17,Pour.Fromcan
Drink.Fromcup_p25_r01_v01_c04,0,Drink.Fromcup
Leave_p17_r00_v03_c04,8,Leave
Walk_p13_r08_v04_c04,2,Walk
Usetelephone_p17_r03_v02_c04,11,Usetelephone
Laydown_p25_r05_v05_c05,14,Laydown
Drink.Fromcan_p13_r03_v23_c06,20,Drink.Fromcan
Cook.Cleandishes_p07_r09_v20_c03,16,Cook.Cleandishes
Enter_p03_r01_v19_c05,22,Enter
Walk_p03_r22_v03_c04,2,Walk
Drink.Fromcup_p03_r00_v15_c06,0,Drink.Fromcup
Getup_p12_r00_v03_c05,10,Getup
Cook.Cleandishes_p06_r01_v13_c03,16,Cook.Cleandishes
Maketea.Insertteabag_p03_r01_v15_c03,23,Maketea.Insertteabag
Usetelephone_p13_r01_v06_c04,11,Usetelephone
Cook.Stir_p15_r01_v15_c06,19,Cook.Stir
Pour.Fromkettle_p15_r00_v14_c06,24,Pour.Fromkettle
Walk_p04_r15_v05_c05,2,Walk
Getup_p09_r02_v03_c04,10,Getup
Sitdown_p17_r07_v09_c02,1,Sitdown
Laydown_p09_r02_v02_c05,14,Laydown
Drink.Fromcup_p19_r13_v08_c01,0,Drink.Fromcup
Sitdown_p12_r10_v05_c04,1,Sitdown
Readbook_p06_r02_v05_c05,6,Readbook
Cook.Stir_p25_r05_v16_c07,19,Cook.Stir
Eat.Snack_p15_r01_v14_c03,13,Eat.Snack
Eat.Attable_p13_r11_v19_c01,3,Eat.Attable
Usetelephone_p25_r02_v10_c02,11,Usetelephone
Uselaptop_p12_r00_v12_c07,21,Uselaptop
Walk_p17_r10_v04_c05,2,Walk
Drink.Fromcup_p19_r21_v07_c01,0,Drink.Fromcup
WatchTV_p25_r06_v06_c05,12,WatchTV
Cutbread_p15_r03_v08_c02,25,Cutbread
Walk_p25_r09_v04_c04,2,Walk
Walk_p07_r02_v21_c07,2,Walk
Walk_p25_r07_v08_c03,2,Walk
Eat.Attable_p07_r19_v08_c01,3,Eat.Attable
Cook.Cleandishes_p07_r10_v06_c03,16,Cook.Cleandishes
Walk_p03_r14_v12_c01,2,Walk
Cook.Cleandishes_p09_r02_v13_c03,16,Cook.Cleandishes
Getup_p07_r02_v10_c01,10,Getup
Drink.Fromcup_p09_r15_v08_c01,0,Drink.Fromcup
Uselaptop_p17_r00_v08_c02,21,Uselaptop
Readbook_p12_r09_v06_c04,6,Readbook
Eat.Snack_p03_r00_v15_c06,13,Eat.Snack
Walk_p15_r13_v16_c03,2,Walk
Sitdown_p04_r05_v03_c05,1,Sitdown
Walk_p15_r07_v08_c02,2,Walk
Takepills_p17_r03_v09_c01,5,Takepills
Walk_p09_r01_v13_c07,2,Walk
Walk_p25_r00_v02_c04,2,Walk
WatchTV_p25_r12_v01_c05,12,WatchTV
Cook.Cleandishes_p25_r01_v12_c03,16,Cook.Cleandishes
Eat.Snack_p09_r00_v13_c06,13,Eat.Snack
Walk_p03_r07_v02_c05,2,Walk
Cook.Cleanup_p03_r08_v18_c06,4,Cook.Cleanup
Cook.Stir_p15_r08_v16_c03,19,Cook.Stir
Eat.Snack_p09_r00_v12_c03,13,Eat.Snack
Pour.Fromkettle_p12_r00_v11_c06,24,Pour.Fromkettle
Leave_p25_r02_v05_c05,8,Leave
Drink.Fromcup_p03_r02_v12_c02,0,Drink.Fromcup
Walk_p12_r07_v07_c04,2,Walk
Walk_p17_r06_v15_c06,2,Walk
Drink.Fromcup_p04_r04_v09_c02,0,Drink.Fromcup
Getup_p04_r01_v05_c04,10,Getup
Laydown_p25_r00_v03_c04,14,Laydown
Walk_p25_r26_v04_c05,2,Walk
Sitdown_p19_r05_v10_c01,1,Sitdown
Walk_p04_r00_v06_c05,2,Walk
Walk_p15_r03_v02_c05,2,Walk
Enter_p09_r00_v04_c04,22,Enter
Cook.Cleanup_p13_r01_v21_c03,4,Cook.Cleanup
Walk_p06_r09_v13_c06,2,Walk
Drink.Frombottle_p17_r00_v09_c02,9,Drink.Frombottle
Walk_p12_r01_v05_c05,2,Walk
Walk_p25_r07_v12_c03,2,Walk
Cook.Stir_p17_r00_v15_c03,19,Cook.Stir
Getup_p09_r02_v01_c04,10,Getup
Takepills_p06_r01_v12_c03,5,Takepills
Drink.Fromcup_p07_r02_v20_c06,0,Drink.Fromcup
Usetelephone_p03_r01_v06_c04,11,Usetelephone
Readbook_p04_r04_v08_c01,6,Readbook
Getup_p12_r07_v14_c05,10,Getup
Walk_p09_r00_v13_c06,2,Walk
Drink.Fromcup_p09_r02_v15_c07,0,Drink.Fromcup
Walk_p15_r04_v04_c05,2,Walk
Getup_p13_r01_v11_c01,10,Getup
Drink.Fromcup_p13_r00_v19_c01,0,Drink.Fromcup
Readbook_p12_r02_v02_c04,6,Readbook
Eat.Attable_p13_r26_v08_c02,3,Eat.Attable
Drink.Fromcup_p15_r02_v13_c06,0,Drink.Fromcup
Sitdown_p09_r04_v03_c04,1,Sitdown
Drink.Fromcup_p06_r01_v08_c01,0,Drink.Fromcup
Sitdown_p09_r01_v05_c04,1,Sitdown
Walk_p15_r02_v02_c04,2,Walk
Drink.Fromcup_p19_r02_v11_c06,0,Drink.Fromcup
Usetelephone_p15_r01_v17_c06,11,Usetelephone
Enter_p06_r01_v14_c01,22,Enter
Walk_p03_r07_v15_c06,2,Walk
Sitdown_p04_r01_v05_c04,1,Sitdown
WatchTV_p06_r04_v03_c05,12,WatchTV
Walk_p17_r05_v11_c07,2,Walk
Walk_p09_r01_v11_c01,2,Walk
Enter_p06_r04_v15_c01,22,Enter
Walk_p17_r10_v05_c05,2,Walk
Sitdown_p06_r02_v06_c04,1,Sitdown
Sitdown_p07_r00_v07_c05,1,Sitdown
Leave_p06_r02_v14_c01,8,Leave
Walk_p12_r12_v07_c04,2,Walk
Drink.Fromcup_p19_r00_v01_c05,0,Drink.Fromcup
Walk_p15_r10_v11_c02,2,Walk
Cook.Stir_p17_r06_v14_c07,19,Cook.Stir
Sitdown_p12_r02_v06_c05,1,Sitdown
